"Street","Suburb","State","Postcode","Charger Plug Type","Total Chargers","Charge Speed (kW)","Installation Date","Network Name","Charger Manufacturer","Plugshare Score","Latest Comments","URL","Name"
"19 Marian St","The Gap","QLD","4825","TYPE_2, TYPE_2, COMBO_TYPE2, CHADEMO","2","22, 75","2023-08-08T20:59:25Z, 2023-08-08T20:59:25Z","Chargefox","","","Everything working well (Rating: 1), #AUSYtour (Rating: 1)","https://www.plugshare.com/location/547856","Mount Isa"
"86 Elm St","Barcaldine","QLD","4725","COMBO_TYPE2, CHADEMO, TYPE_2, TYPE_2","2","75, 22","2022-12-13T18:29:28Z, 2023-07-31T18:23:05Z","Chargefox","Tritium","10"," (Rating: 1),  (Rating: 1), Easy as  (Rating: 1), Park and public toilets a few minutes walk away in Beech Street.  (Rating: 1), Fast charge - only 1 minute walk to the Main Street in Barcy. Easy as. (Rating: 1), Very remote  (Rating: 0), Wish it was in Main Street instead of stuck away in a backstreet with nothing around  (Rating: 1), But far from the main drag, but walkable. (Rating: 1), Needs to be closer to town  (Rating: 1), Awful location to put charger. Should have been on Oak street where all the retailers and restaurants are.   (Rating: 1), Fast charge . 74kwH (Rating: 1), Quiet street location a big block away from town centre and there are public toilets around the corner. Not the best location for evening/night charging.
Thanks Yurok’s and Chargefox, seamless charging experience. This would be even better if I didn’t have to use the app and just recognise car during communication fase and start charging. (Rating: 1),  (Rating: 1), Fast charge no issues (Rating: 1), Are you guys still having this issue? (Rating: 0), DC charger out of order. AC charger did start with a chargefox RFID card. Need 7 hrs to get to our next stop. (Rating: 0), All stations are offline today. I think maybe they need a shade built over the top because they're sitting there baking every day. Comes up with ""Comms error"" - would be great if they could fall ""safe"" and still allow a charge (even with reduced speed) when payments aren't working. This is especially important when this is the only option in town. Was able to get a bailout at the Barcaldine Country Motor Inn, they were super helpful! (Rating: -1), No dice on CCS, comms error with the car. Called Chargefox and they are trying a remote reset. Jumped on the 11kw byo cable post in the meantime. (Rating: 1)","https://www.plugshare.com/location/477876","86 Elm St Parking"
"146A Shamrock St","Blackall","QLD","4472","COMBO_TYPE2, CHADEMO, TYPE_2, TYPE_2","2","75, 22","2022-12-13T18:31:15Z, 2023-07-31T18:23:05Z","Chargefox","Tritium","9","Great location on main highway. You need a Telstra phone for the Chargefox app to work  (Rating: 1), Park with picnic table and public toilets across the road and shops a short walk away.  (Rating: 1), Here for lunch and a good charge (Rating: 1), Great location in town and close to shops. Wish all QESH locations were as centrally located  (Rating: 1), Great location again. Close to amenities and not hidden away.
Toilets across the main road. (Rating: 1), Says not working but only app not working. Plugged in and started without app or card.  Free charge  (Rating: 1), Used charger today at lunch time. Biggest issue was the credit card tapping point was out of service which means you can only use Charge Fox app. Unfortunately we had no phone service..... So had to go to a local shop to ask to use someone's wifi! Thankfully there are lovely locals. 

In the end after going for a walk we found that Nutrien Harcourts just down the road offer free wifi Monday to Friday. Wifi search will pick it up just outside their shop.  We will need it for our return journey. Great kids park across the road from the charger.  (Rating: 1), Thanks for the chargers  (Rating: 1)","https://www.plugshare.com/location/470832","146A Shamrock St Parking"
"71209 Kunwarara Rd","Marlborough","QLD","4705","CHADEMO, COMBO_TYPE2, TYPE_2, TYPE_2","2","50, 22","2019-07-01T17:26:54Z, 2023-07-31T18:22:23Z","Chargefox","Tritium","10","Charging for another 15 (Rating: 1), Works fine (Rating: 1), Working, charging to 80+ finish by 1:30ish🐳 (Rating: 1), Here for another 15m (Rating: 1),  (Rating: 1),  (Rating: 1), All working
 (Rating: 1), Bit temperamental but working now (Rating: 1), Here for about 35mins  (Rating: 1), Another quality location (Rating: 1), Was 3rd in line nodobby behind me

30 minutes

Only 38kw 🤷‍♂️ (Rating: 1), Needed to reset the CCS2 charger as it was showing ‘fault’ but an off/on did the trick. ~42kW  (Rating: 1),  (Rating: 1), No problem at all. (Rating: 1),  (Rating: 1), Charges at 40kw finished at 1200 (Rating: 1), Quick charge. Works well. Buying food here is expensive. (Rating: 0), 
 (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), 25 minutes (Rating: 1), Here for another 35 minutes. The coffee here is very good and nice clean restrooms.  (Rating: 0), Fast top up (Rating: 1), #AUSYtour (Rating: 1), Leaving at 11 (Rating: 1),  (Rating: 1), Here to 9.30 if it doesn’t continue to switch off (Rating: 0), Charge to 80% (Rating: 1), Here till 3.30 (Rating: 1), Finishing 1pm (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Stopped charging twice. On tesla 3 (Rating: 1), Message me if waiting  (Rating: 1), here till 3:00 (Rating: 1),  (Rating: 1), This is a very unreliable charge station. By-pass if at all possible. (Rating: 0), All working (Rating: 1),  (Rating: 1), Here for 45 min. (Rating: 1),  (Rating: 1), 15 more minutes. Charging well (Rating: 1), Round Australia clockwise from Perth.
https://m.facebook.com/groups/189311120049312 (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/137906","Marlborough South"
"3 Gregory St","Mackay","QLD","4740","CHADEMO, COMBO_TYPE2, TYPE_2, TYPE_2","2","50, 22","2019-07-01T17:23:45Z, 2023-07-31T18:22:26Z","Chargefox","Tritium","10"," (Rating: 1), Working again after being out of order last week. Happy!  (Rating: 1), Tesla parked in the CCS spot and using Type 2 AC to charge. Obviously doesn’t know how to troubleshoot the charger to get working, decided to not move to use the Type 2.

Charging at 11kw on type 2 (Rating: 1),  (Rating: 1), Should be done by 12.15pm
Working well so far (Rating: 0), Here for an hour (Rating: 1),  (Rating: 1), Will be for an hour.  (Rating: 1), Fast charger working. Here till 12:40 (Rating: 1), DC charger is working tonight 💪  (Rating: 1), Activating from the app again now. Still have to press stop after you unplug! (Rating: 1), Delivering 45kW. No issues activating from the app (Rating: 1), Charger is working for rfid cards! Push stop first, scan your rfid card (you can link your evie card to the charge fox app by adding it) then plug in and press start! Charging beautifully at 50kw (Rating: 1), This thing isn't working (Rating: -1), Still not working (Rating: -1), Broken ccs (Rating: -1), Slow PHEV charge to 100%. Message me if you urgently need to connect. I live close by. (Rating: 1), Slow charger working.  6.4kw (Rating: 1), Fast charger isn't working  (Rating: -1), Out of action not working. Chargefox could t give a timeline for fix (Rating: -1), They just finished fixing it. Got a free charging sesh for helping to test that it works (Rating: 1), 50 kW Tritium is still down. Port B in Type 2 running 2 phases.  (Rating: 1), 50kw Dc charger is out yet again. Port b of the 22kw ac charger had dropped a phase so is only charging at 8kw and port a is charging at full capacity! Bowen is out too, these old rt50’s really need replacing (Rating: -1), Slow charge on AC.  (Rating: 1), Charger broken, couldn't get it to start charging contacted chargefox who reset the station but this didn't work had to leave and wall charge where we are staying  (Rating: -1), Could not charge fully thanks to a selfish p plater who left their vehicle plugged in not charging.  Waiting for almost 2 hours slow charging  (Rating: -1), Charger stops immediately. No respite until Tritium garbage is replaced by something more reliable. (Rating: 1),  (Rating: 1), Dinishing charging at 9am. (Rating: 1), Charger works perfectly, about a 5 minute walk to Caneland Shopping Centre (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Seems nothing wrong with machine, work fine for me. (Rating: 0), Ratty is much happier now it is not raining. Finish at 3 10pm (Rating: 1), Stopped once after 5 minutes. Reset . (Rating: 1),  (Rating: 1), Dropped out on me 4 times (Rating: 1),  (Rating: 1), here to 10:30am (Rating: 1), Message me if waiting  (Rating: 1),  (Rating: 1),  (Rating: 1), Slow PHEV charge on AC. Message if you need me to move. (Rating: 1), Cut out part way through charging  (Rating: 1),  (Rating: 1), Working great.  (Rating: 1),  (Rating: 1),  (Rating: 1), Working at the moment! 8.2kw and 11mins with no drama, could hear the fan working today! (Rating: 1)","https://www.plugshare.com/location/136969","Gregory St Lot Mackay"
"8 Music St","Carmila","QLD","4739","CHADEMO, COMBO_TYPE2, TYPE_2, TYPE_2","2","50, 22","2019-07-01T17:23:04Z, 2023-07-31T18:22:25Z","Chargefox","Tritium","10"," (Rating: 1),  (Rating: 1),  (Rating: 1), Works fine (Rating: 1), 
 (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Here for 20m (Rating: 1),  (Rating: 1), Couldn't charge (Rating: -1),  (Rating: 1), Charged for 7 minutes then errors out. Tried a second time, no charge, just the error message.  (Rating: -1),  (Rating: 1), All ok 40 odd kW (Rating: 1), Late night charge (Rating: 1), Charging til about 1230
 (Rating: 0), Working perfectly 😀.  (Rating: 1), Be about an hour  (Rating: 1),  (Rating: 1),  (Rating: 1), 40kW (50 promised)
Positive: didn't need to reverse to the charger as we tow a trailer.
But why are all chargers everywhere placed in the full sun?
People said that Mackay's charger are out of order for some time, so we charge here as much as possible (Rating: 1), Getting Brekky at the BP 

45 minutes (Rating: 1), Charging at 39kW. Be here until 2:40ish, depending on how speeds vary.  (Rating: 1),  (Rating: 1), Server across the road is alright (Rating: 1), No problems. Quiet at night (Rating: 1),  (Rating: 1),  (Rating: 1), Had to restart because charger cut out at 50%. (Rating: 0), Probably a little less than the hour. Can move a little sooner if you are in need.  (Rating: 1), Charging here for about 40 mins.  (Rating: 1), Charging at 42kw.  Stay close to your car it’s dropping out about every 10 minutes.    (Rating: 0),  (Rating: 1), Charging slower than expected will need another 20 minutes (Rating: 1), Getting a chicken burger at BP

Will be  40 minutes till charged (Rating: 1), Using the slow charger while waiting (Rating: 0), 43kW all ok, be 30 min or so (Rating: 1), Be done in 45min (Rating: 1), Good spot for fast charging (Rating: 1), I little hard to spot at night but nice that it’s a drive through park/charge.   (Rating: 1), Got to this charger on 0 (Rating: 1), #AUSYtour (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Finishing around 10.45am (Rating: 1)","https://www.plugshare.com/location/141573","QESH - 8 Music St Parking"
"39 Blomfield St","Miriam Vale","QLD","4677","CHADEMO, COMBO_TYPE2, TYPE_2, TYPE_2","2","50, 22","2019-07-01T17:24:34Z, 2023-07-31T18:22:23Z","Chargefox","Tritium","10","Finished by 7:30.
Dinner at the pb (Rating: 1),  (Rating: 1),  (Rating: 1), a 2nd charger would be great as waiting times increase (Rating: 1),  (Rating: 1),  (Rating: 1), Should be gone by 9am. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Here till approximately 9:30am. (Rating: 1),  (Rating: 1),  (Rating: 1), Charging but third time lucky. Can’t leave the car as it cuts out.  (Rating: 0), Coming in to charge Tesla around 1:30. Need 50% (Rating: 0), Finishing around 915 (Rating: 1), Only fast charger working  (Rating: 0),  (Rating: 1), Charg for 40un (Rating: 1), Full house.  Need more stations.  May be helped when Tesla charger opens in calliope.  At the moment this charger is always bugs (Rating: 0), Be about 30 min (Rating: 1), Polestar 2.
Charger working well (Rating: 0),  (Rating: 1),  (Rating: 1), Gone for a walk with the kids. Will be one hour. (Rating: 1), All chargers working still  (Rating: 1), Next in line after Andrew S! 😄 (Rating: 1), Took an hour to get into town, big accident blocking the highway  (Rating: 1), Quick charge here. There is also a crash in the middle of town blocking the main road  (Rating: 1), Be about 45 minutes  (Rating: 1), Just arrived, will be about 40mim (Rating: 1), Charging on AC until the other red Model Y (not checked in) leaves the DC charger (Rating: 1), Here till about 17:45 (Rating: 1), Both AC and DC chargers had to be restarted but ran ok then. (Rating: 1),  (Rating: 1), All good!  (Rating: 1), Working fine. Getting 44kw (Rating: 1), Trying to start charging but it's not happy  (Rating: 0), Ac Eventually started charging.   The ccs2 is in use another Tesla waiting for charge.    Just need 6% to get to Rocky.    (Rating: 0), Be here for about 30 minutes (Rating: 1), Be about 45 minutes  (Rating: 1), Fast charger working 45kW. Will be done by 9:15am (Rating: 1), Fast charger still not work. We had incorrect cable for slow charger. Left with 17% charge and limped to Agnes Water. Come on Qld, wake up, it’s 2023 and ev use is increasing dramatically. (Rating: -1), The fast charger is faulty. Using the slow charger. (Rating: 1), Could not charge, called tech support, they reset the system twice, no success.. had to stay at a motel for the evening .. Stuffed up our plans completely.. Still on app saying it’s available, bloody hopeless.. Do not visit if you require CCS and don’t have a travel adapter .. 😬 oops  (Rating: -1), Is there any way to find out when this is going to be back online?? (Rating: 0), Tritium unit unsurprisingly faulty.
Not a great advertisement for the “Queensland Electric Super Highway” (Rating: -1), Just a clarifying comment re the Miriam Vale chargers.  Whilst the Tritium 50Kw charger is not working, the two ports on the Schneider Electric 20Kw type 2 chargers are working perfectly.   Saved our bacon this morning.  It does beg the question,  what sort of service level agreement is on the charging network?  This 50Kw charger has had an issue for a week. (Rating: 0), 2 hours Min. Only slower chargers working (Rating: 1), Error 126. Could not activate (Rating: -1)","https://www.plugshare.com/location/138076","39 Blomfield St Parking"
"33 Raglan St","Mount Larcom","QLD","4695","COMBO_TYPE2, CHADEMO, TYPE_2, TYPE_2","2","50, 22","2020-12-17T18:22:19Z, 2023-07-31T18:22:47Z","Chargefox","Tritium","10"," (Rating: 1), Got here with 2% so I'll be here a while, but if you need me to shift for you within the hour sing out. Nap time! (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Grabbing a DC charge until 9:30am. All working well. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Here till 11:30.  (Rating: 1),  (Rating: 1), Charging at 44 kw will be here to about 1130 (Rating: 1), Here for 15mins or so (Rating: 1), Will be here for about 45 mins (Rating: 1), 2 waiting

45 minutes to an hour

Having dinner at the pub (Rating: 1), WIting in line using the type 2 while I wait (Rating: 1), Nice little stop.  Toilets, pie shop (Rating: 1), Was getting ~49kW and a coffee from the local cafe. 😎 (Rating: 1), Be about 30 minutes  (Rating: 1), Cable required - only one working.  (Rating: 1), Had to call chargefox to get them to activate port A manually. They said there is a problem with port B (Rating: 1), Still faulty ccs (Rating: -1), 50 kW charger out of order. Using 22 kW to get enough charge to reach Gin Gin? (Rating: 1), Not working. Needs reset (Rating: -1), Main DC charger is showing Err 353 and no response to the emergency stop button at all.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging well  (Rating: 1), Worked 1st go (Rating: 1), Not working.  That's two in a row with problems.  Not good enough (Rating: -1), phoned chargefox - they remotely started - poor Optus connection - go into park (Rating: 1), error on connection x2 (Rating: -1),  (Rating: 1), 45kW (Rating: 1),  (Rating: 1),  (Rating: 1), Round Australia clockwise from Perth.
https://m.facebook.com/groups/189311120049312
 (Rating: 1),  (Rating: 1),  (Rating: 1), MY LR (Rating: 1), Working well. Miriamvale was faulting.  (Rating: 1),  (Rating: 1),  (Rating: 1), Finish about 9.30am (Rating: 0),  (Rating: 1), NO Optus or Vodafone reception for APP at charger at Mt Larcom - lucky we have an RFID card (Rating: 0), here to 11:30am (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/290158","Dudge & Isabel Barram Park"
"232 Bolsover St","Rockhampton","QLD","4700","COMBO_TYPE2, CHADEMO, TYPE_2, TYPE_2","2","50, 22","2020-02-20T18:43:03Z, 2023-07-31T18:22:27Z","Chargefox","Tritium","10"," (Rating: 1),  (Rating: 1), Waiting to charge at 8.15 (Rating: 0), Will be finished by 8:30 (Rating: 1), Charging and Dinner.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), We will be done by 11.25am (Rating: 0), Coming in to charge Tesla . Eta 10:10am. Will need 50%. Thanks.  (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Finish at 930 (Rating: 1), Switching to ccs2 (Rating: 1), Waiting for ccs2 to be available  (Rating: 0), Charging for 1h (Rating: 1), Had to use type 2 plug because another car is on CCS2 and has been here an hour with no driver present 🤬 (Rating: 1),  (Rating: 1),  (Rating: 1), Works well (Rating: 1), Currently charging be about 45 (Rating: 1), Using slower charger until other EV leaves (Rating: 0), Be 30 minutes  (Rating: 1), 2 waiting model Y on 95%  (Rating: 0), Charging 49kW. Gone again about 10:35 or sooner… depends on local coffee! (Rating: 0),  (Rating: 1), Wont be long probably 30mins (Rating: 1), Be here for an hour from 6:50am (Rating: 1), Charging at the moment for the next 30 mins (10:15am) (Rating: 1),  (Rating: 1),  (Rating: 1), Charging to 60% should be finished by 5pm (Rating: 0), Will be here for an hour, heading to Bundy and next two fast chargers aren't working (Rating: 1), Worked well ✅ (Rating: 1),  (Rating: 1), Be about 40 minutes (Rating: 1),  (Rating: 1), Be about an hour  (Rating: 1),  (Rating: 1), Charging till 9.15 (Rating: 1), Charging until about 3.20pm (Rating: 1), 20 mins (Rating: 1), Here till 1630 (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/132412","Rockhampton Regional Council"
"4 Somerville St","Burnett Heads","QLD","4670","CHADEMO, COMBO_TYPE2","1","50","2019-05-31T16:48:48Z","Chargefox","Tritium","1"," (Rating: -1), Not working  (Rating: -1), Very disappointed to see this charger is still out of order. We chose this area to stay because there was a charger available.  How long should it take to fix a charger??? (Rating: 0), Charger not working (Rating: -1), This has been having issues all year. Cmon Bundaberg City Council  (Rating: -1), It looks like the emergency stop button has been vandalised and cannot be disengaged. (Rating: -1), The charger is out of order, both ports. (Rating: -1), Faulted no charging possible  (Rating: -1),  (Rating: 1),  (Rating: 1),  (Rating: -1),  (Rating: 1), Will be here till about 3.30 (Rating: 1),  (Rating: 1), Needed to restart it half way  (Rating: 1),  (Rating: 1), Needed to reset ccs port once. But all ok. 40min charge from 55% (Rating: 1),  (Rating: 1),  (Rating: 1), Charger cutting out occasionally but mostly good. Should depart by 1645 (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Good location with cafe, hotel and toilets very close. (Rating: 1), Be here until 6:30pm (Rating: 1), Faulted again after a while (Rating: 1),  (Rating: 1), It faulted after 23 min  (Rating: 1), Working! (Rating: 1), Working! (Rating: 1), Started charging after a reset from ChargeFox.  (Rating: 1), Chademo faulty  (Rating: 0), 🎉🎊 (Rating: 0), Working again. Woohoo.  (Rating: 1), It’s been faulty for months. 
Pull your finger out and fix this  (Rating: -1), Both stations are not working  (Rating: -1), Currently NOT working  (Rating: -1), CCS plug not working. Says error. Chademo might work (Rating: -1),  (Rating: 1), Looks like the Max/80% button doesn’t work but fully charged all good.  (Rating: 1), Faulty. Starts to charge but it drops out after a short time.  (Rating: 0), STILL not working. It’s been over 2 weeks. Called the 1-300 number and after waiting the ‘customer service’ person said “it could take months to repair. Chargefox is ‘investigating’”.  (Rating: -1), Still broken (Rating: -1),  (Rating: -1),  (Rating: 1), Charging at the park with the kids be back before fully charged.  (Rating: 1),  (Rating: 1),  (Rating: 1), Excellent! Not super fast but good enough,and free!
Kelly’s Cafe was a great place for breakfast whilst waiting for the car to charge. (Rating: 1), Charged for about 30 minutes.  Error code appeared on charger and stopped charging.  "" ERR 148"" on panel.  (Rating: -1)","https://www.plugshare.com/location/168007","Kelly's Sea Cafe"
"8 Dear St","Gin Gin","QLD","4671","COMBO_TYPE2, CHADEMO, TYPE_2, TYPE_2","2","50, 22","2020-11-02T18:27:41Z, 2023-07-31T18:22:47Z","Chargefox","Tritium","10","Childers charged failed so hope this is better. 
If so should be done by 5:30ish. (Rating: 1), Works fine (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Currently charging - will be finished at approximately 8.30 (Rating: 1), Charging to 80% and will be finished at 12:25. (Rating: 1),  (Rating: 1),  (Rating: 1), Type 2 port b is working (Rating: 1),  (Rating: 1), Will be here till approx 8.50am (Rating: 1), Here until 7:15 (Rating: 1), Here till 5:45pm (Rating: 1), Will be 15 mins (Rating: 1),  (Rating: 1), Here for 45m (Rating: 1), Works well (Rating: 1),  (Rating: 1), I will bd here for about 40 mins  (Rating: 0),  (Rating: 1), 45 minutes to go (Rating: 1), 2nd in line

Will need 40 minutes when my turn (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charging now for about 45 mins (6:10am) (Rating: 1), Just arrived. Will be here for 30 minutes  (Rating: 1), At the bakery. Back soon  (Rating: 1), At 20% getting 44kw so at least an hour (Rating: 1), Byd on ccs. Worked a charm. (Rating: 1),  (Rating: 1), First time had to wait,15 min ok (Rating: 1),  (Rating: 1),  (Rating: 1), Now using the fast charger. (Rating: 1), Slow charging because the fast charger is occupied. (Rating: 1),  (Rating: 1),  (Rating: 1), Fast charger working well, 45kW. Will be done by 8am. (Rating: 1), Charging 1 hour (Rating: 0), Here an hour (Rating: 1),  (Rating: 1), Second attempt worked no problems.  (Rating: 1), Charging not working so stops immediately. Try using charge thru app, not chargefox card, but no promises. Using free 30 min chargeat moment. (Rating: 1), Faulty, was on the phone to helpdesk for 30 minutes before they were able to get it working.  (Rating: 1), Chargefox is restarting station. Could not connect (Rating: -1), Last working DCFC north until Rockhampton at the moment. (Rating: 1)","https://www.plugshare.com/location/273235","Gin Gin Bakery"
"159 Farnsfield Rd","North Isis","QLD","4660","TESLA_S, TESLA_S","2","22, 22","2016-10-03T19:08:40Z, 2016-10-03T19:13:15Z","Tesla Destination","Tesla, Tesla","","** PLEASE CAN FIRST PLUG-SHARER WHO VISITS HERE, OR ANYONE LOCAL PLEASE ADD SOME PHOTOS OF THIS CHARGER - Thanks!  - Twitter @The_PlugSeeker ** (Rating: 0),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/96741","Lake Redbrook Retreat Queensland"
"249 Bourbong St","Bundaberg West","QLD","4670","TESLA_S, TESLA_S","2","22, 22","2017-05-01T21:12:44Z, 2017-05-01T21:13:11Z","Tesla Destination","Tesla, Tesla","10"," (Rating: 1), Worked just fine (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Nice rooms, quiet, clean, good value. Hosts very nice. Long charging cable. Easy walk to centre of town.  (Rating: 1), Nice motel and friendly staff. The charger is in front of the twin room. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Great place, pet friendly and fantastic hotel staff. Good location too might I add - right next to a local park. (Rating: 1), Great hosts and clean rooms.  Spending my second night here and could not be happier. (Rating: 1),  (Rating: 1), Very happy with the awesome service from the Hotel manager. He went above and beyond to swap my room to be next to the charger. Nice accommodation for the night too. Will definitely stay here on the next trip to Bundy (Rating: 1), Friendly staff, convenient charge overnight (Rating: 1), Recently upgraded to DC. Smooth and convenient Telstra charge at 11+kW immediately outside room (225) - another coming in new year. (Rating: 1), Tesla wall charger (Rating: 1), Restricted to 6A, but free to those who stay..nicd (Rating: 1), The charger has been replaced & worked great. (Rating: 1), There's something wrong with this charger, I had a lot of trouble initiating a session, but did eventually after resetting the charger and my car multiple times. I haven't been so successful for a second session though. (Rating: 1), Tidy room and good location with cafe and restaurant options. Asked for the room with the charge so car was right outside. Very convenient. (Rating: 1), Nice clean room right next to the charger (Rating: 1), Great place to stay for destination charge. All charged up in 4 hours. Place is clean, comfortable, quiet and friendly. We will come back (Rating: 1), 80k/hr. Tesla Enthusiast Top accomadation  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/114872","Econo Lodge Park Lane "
"1906 Dawson Hwy","Calliope","QLD","4680","COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2","6","","2023-09-05T13:08:23Z, 2023-09-05T13:08:23Z, 2023-09-05T13:08:23Z, 2023-09-05T13:08:23Z, 2023-09-05T13:08:23Z, 2023-09-19T07:42:41Z","","","","","https://www.plugshare.com/location/556011","Calliope Supercharger (Coming Soon)"
"12 Hospital Rd","Emerald","QLD","4720","TESLA_S, TESLA_S, TYPE_2, TYPE_2","4","22, 22","2016-10-25T17:32:53Z, 2016-10-25T17:33:18Z, 2022-11-28T23:53:16Z, 2022-11-28T23:53:16Z","Tesla Destination","Tesla, Tesla","10"," (Rating: 1), Many thanks for the charge  (Rating: 1), $25 and call ahead.  There are two chargers.  Good place to plan to stay. (Rating: 1),  (Rating: 1), Many thanks for the charge and accommodation. Remains a great place to stay  (Rating: 1),  (Rating: 1), Two chargers & easy to find, charging at about 70 km per hr, we are staying o’night so no cost. Staff are very helpful and accomodating. Another good one! (Rating: 1), Charger worked perfectly again and hotel staff were very accommodating  (Rating: 1), Charged for 5 hours. The staff were friendly. I called ahead to check. They charged $25. (Rating: 1), Description says it all. While pricey it is an essential service until infrastructure is put in place. (Rating: 1),  (Rating: 1), $20 to charge if not staying. Call to arrange. Room 14 has the charger outside.  (Rating: 1), Topping up. This service is invaluable! (Rating: 1), Just called them to see if I could charge tomorrow. The management has changed the rules; charging for guests only!!! (Rating: -1), Very EV friendly new management 
Great room and charging with no problem  (Rating: 1),  (Rating: 1), Very friendly and helpful. I rang through and was given instructions. We are not staying overnight but would of course use the motel in future.  (Rating: 1), Green LEDs on chargers are not on but both chargers work great 16A 3 phase. Thank you. (Rating: 1), Does anyone know if these Tesla chargers are set for ‘Tesla only’ or not? (Rating: 0),  (Rating: 1), Excellent accomadation thanks to the owners attention to detail of there quality room's.  (Rating: 1), Tessie on her trip to Alice Springs 2018 (Rating: 1), 81km/hr (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/98229","Midlander Motor Inn"
"14 Electra St","Bundaberg Central","QLD","4670","CHADEMO, COMBO_TYPE2","1","","2023-08-29T23:41:43Z","","","","Awesome
Great to see another option in town -- checkin created before location officially marked open (Rating: 0)","https://www.plugshare.com/location/554432","Lawrence & Hanson Bundaberg (Coming Soon)"
"5 Walton Ln","Picton","NSW","2571","CHADEMO, COMBO","1","50","2020-05-12T22:22:08Z","NRMA","Tritium","9.3","Will be 40 mins  (Rating: 1), 20min (Rating: 1), Hi all, this location will be offline 27th Sep 2023 from around 010:30/11:00 am for around an hour or so due to maintenance. Please check the status of nearby chargers when planning your route. We are sorry for the inconvenience. (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1), Will be here for an hour  (Rating: 0), 35min (Rating: 1), Will be about 45 minutes  (Rating: 1), Here for about 45 minutes (Rating: 0), Completed  (Rating: 1), Here for an hour  (Rating: 0),  (Rating: 1), Charging. 40 minutes to go.  (Rating: 0), here til about 7am (Rating: 0),  (Rating: -1), Be finished by 5:20pm (Rating: 1), Will leave at 7:45pm (Rating: 0),  (Rating: 1), Charging now for about 50 minutes (Rating: 0), Tesla Y plugged in but shows error on the screen so they are not even charging (Rating: -1), Charging now. What happened to this app?
Will finish in 30 minutes  (Rating: 0),  (Rating: 1), Charging now be finished about 6:15 (Rating: 1), Will be 1 hour (Rating: 1), Appears this site (and Olympic Park) will be $0.54/kWh from 27 Sep, per NRMA website (Rating: 0),  (Rating: 1), Etd 1315hrs. (Rating: 1), Be 1hr  (Rating: 0), Charging . 5 more minutes to go.  (Rating: 0),  (Rating: 1), Be about 50 minutes. (Rating: 1), Charging for 60min (Rating: 1), Waiting to charge  (Rating: 0),  (Rating: 1), Here for 1h - until about 6.45pm (Rating: 1), Checking out Picton. Let me know if you need to charge, happy to move away.  (Rating: 1), Charging till 225pm (Rating: 0), Charging now be finished about 2:10pm (Rating: 1), Be 45 min text if urgent need (Rating: 1),  (Rating: 1),  (Rating: 1), Charger in use not checked in (Rating: -1),  (Rating: 1),  (Rating: -1), Started 1:20. Finishing at 2:00 (Rating: 0), Tesla m3, charging now, be40 mins (Rating: 1), Only charged 20% and then stopped (Rating: 1), Here till 9;20 if charge is completed (Rating: 0), Will leave at 8:40pm (Rating: 0)","https://www.plugshare.com/location/244278","Walton Lane Car Park"
